Gene.symbol	Gene.ID	adj.P.Val	logFC
KIAA0101	9768	7.80873138277734e-12	4.54141227326445
DDX58	23586	1.21985999030836e-11	-1.91414546401333
PECR	55825	1.2373334395101e-11	-2.16761252444889
MPO	4353	7.27692252470679e-11	5.44971199684001
EIF5AL1///EIF5A	143244///1984	8.15522724345229e-11	0.973573198786669
PCNA	5111	9.40642584920985e-11	1.96940555358
CDKN2C	1031	9.7819154011311e-11	1.55655975928
STK38	11329	9.7819154011311e-11	-1.86222975777333
IQGAP3	128239	9.7819154011311e-11	1.59249934221334
MCM10	55388	9.7819154011311e-11	2.22820676466889
MELK	9833	1.10747626953444e-10	2.3543234072
KIT	3815	1.85042288718986e-10	5.04664437200223
SUCNR1	56670	1.85042288718986e-10	3.03884844880889
ANLN	54443	1.85042288718986e-10	2.58571477717333
CIT	11113	1.85042288718986e-10	2.35632845535333
XPNPEP1	7511	2.31264385175155e-10	0.954916678317778
CDC45	8318	2.44915466574602e-10	2.20717354648445
TPX2	22974	2.44915466574602e-10	3.01952042805111
PRC1	9055	2.44915466574602e-10	2.67893492126222
FLT3	2322	2.47699757486938e-10	4.91866686954889
NCAPG	64151	2.5663694355799e-10	3.10982544303111
BUB1B	701	2.5663694355799e-10	2.58367150937111
MCM4	4173	2.57754595704794e-10	2.03338319719556
MCUB	55013	2.72746639678453e-10	-3.42324685088
KIF23	9493	2.97602496713434e-10	2.77991573202
GDPD3	79153	2.97602496713434e-10	-2.24825613559333
GABBR1	2550	3.08588866057568e-10	-2.23664436968222
TOP2A	7153	3.41634763492684e-10	3.27308931032445
DNAJB9	4189	3.68593244456733e-10	-1.60393047505778
IL1RAP	3556	4.23872058266422e-10	2.27643447966222
PPP1R14B///LIMK2	26472///3985	4.23872058266422e-10	1.02165871061111
C3orf14	57415	4.38983422114444e-10	-1.21932265916445
POLQ	10721	4.89887332858044e-10	1.99822054134
CDT1	81620	5.0078519898344e-10	1.70350420185111
RCC1///SNHG3///RCC1	1104///8420///1104	5.47655675093621e-10	1.44121415885333
FANCI	55215	6.84466917104744e-10	2.22716270680889
CLSPN///CLSPN	63967///63967	7.65096331209865e-10	2.82348004816889
		8.46136456346106e-10	-1.26614755212223
TYMS	7298	9.38306619880362e-10	3.25385818079556
CBX7	23492	9.59882057541328e-10	-1.88117294596444
PLCL2	23228	1.07340834269257e-09	-1.60894264342444
CCZ1B///CCZ1	221960///51622	1.33788116098606e-09	-1.56269909481556
PORCN	64840	1.68686509962365e-09	-1.18376829610667
PES1	23481	2.02236211353356e-09	0.86581766413778
CDC123	8872	2.26935329337595e-09	0.839644472711115
CTPS1	1503	2.44947316785588e-09	1.30853875454445
